"Unique Line ID","Fiscal Year Ending","County","County Name","Public Safety & Legal Services","Physical Health & Social Services","Mental Health MR, DD","County Environment & Education","Roads & Transportation","Government Services to Residents","Administration","Nonprogram Current","Debt Service","Capital Projects","Sub-Total Expenditures","Operating Transfers Out","Refunded Debt/Escrow","Total Expenditures","Increase (Decrease) in Reserves","Total Ending Fund Balance","Total Requirements","Primary County Coordinates"
"2007_91_WARREN_EXPEND_SA","6/30/2007","91","WARREN","$3,956,650","$2,293,252","$3,137,044","$874,649","$5,289,796","$651,863","$2,215,120","$0","$700,690","$994,765","$20,113,829","$2,033,483",,"$22,147,312","$0","$3,498,639","$25,645,951",
"2011_94_WEBSTER_EXPEND_SA","6/30/2011","94","WEBSTER","$4,915,897","$2,362,008","$5,043,612","$1,169,634","$6,300,000","$791,096","$2,534,589","$200,000","$572,436","$2,950,000","$26,839,272","$2,080,000","$0","$28,919,272","$0","$5,421,127","$34,340,399",
"2015_47_IDA_EXPEND_SA","6/30/2015","47","IDA","$799,179","$307,443","$395,616","$387,737","$3,034,651","$263,280","$756,191","$0","$0","$1,295,000","$7,239,097","$1,106,094","$0","$8,345,191","$0","$2,123,880","$10,469,071",
"2016_47_IDA_EXPEND_SA","6/30/2016","47","IDA","$793,065","$329,623","$249,935","$402,026","$3,531,390","$278,073","$767,218","$0","$0","$685,000","$7,036,330","$1,112,523","$0","$8,148,853","$0","$2,060,336","$10,209,189",
"2020_65_MILLS_EXPEND_SA","6/30/2020","65","MILLS","$3,928,911","$2,290,842","$276,125","$1,702,072","$6,399,078","$634,914","$4,480,806","$0","$1,340,716","$1,081,347","$22,134,811","$2,601,886","$0","$24,736,697","$0","$6,139,740","$30,876,437",
"2021_81_SAC_EXPEND_SA","6/30/2021","81","SAC","$3,089,230","$806,944","$312,424","$1,157,601","$5,494,155","$542,210","$1,502,713","$0","$0","$2,580,000","$15,485,277","$1,679,750","$0","$17,165,027","$0","$2,711,100","$19,876,127",
"2026_85_STORY_EXPEND_SA","6/30/2026","85","STORY","$17,728,609","$5,260,820","$0","$7,446,624","$10,164,260","$2,085,151","$9,659,447","$861,338","$1,159,019","$3,270,725","$57,635,993","$8,596,250","$0","$66,232,243","$0","$23,847,572","$90,079,815",
"2011_52_JOHNSON_EXPEND_SA","6/30/2011","52","JOHNSON","$20,189,127","$8,594,931","$13,266,037","$3,250,069","$6,939,002","$2,152,447","$6,749,906","$3,000","$4,599,650","$6,809,169","$72,553,338","$20,047,971","$0","$92,601,309","$0","$13,210,946","$105,812,255",
"2014_2_ADAMS_EXPEND_SA","6/30/2014","2","ADAMS","$1,119,300","$278,111","$242,559","$719,175","$2,799,000","$244,348","$785,544","$32,500","$543,681","$80,500","$6,844,718","$860,325","$0","$7,705,043","$0","$2,365,957","$10,071,000",
"2005_70_MUSCATINE_EXPEND_SA","6/30/2005","70","MUSCATINE","$5,766,706","$1,374,848","$4,654,820","$750,122","$4,223,000","$755,918","$2,128,719","$0","$673,318","$2,745,000","$23,072,451","$505,400",,"$23,577,851","$0","$5,152,394","$28,730,245",
"2018_36_FREMONT_EXPEND_SA","6/30/2018","36","FREMONT","$2,918,415","$294,022","$310,726","$434,807","$4,137,000","$512,207","$1,497,726","$10,000","$458,970","$478,000","$11,051,873","$1,379,215","$0","$12,431,088","$0","$3,788,519","$16,219,607",
"2021_82_SCOTT_EXPEND_SA","6/30/2021","82","SCOTT","$35,590,157","$6,976,608","$5,628,347","$5,402,560","$7,747,100","$3,017,786","$13,463,914","$0","$4,867,249","$12,983,076","$95,676,797","$14,563,763","$0","$110,240,560","$0","$25,115,236","$135,355,796",
"2021_3_ALLAMAKEE_EXPEND_SA","6/30/2021","3","ALLAMAKEE","$2,979,902","$683,355","$417,540","$1,260,776","$7,063,914","$630,146","$1,225,019","$20,750","$425,304","$1,500,000","$16,206,706","$2,061,960","$0","$18,268,666","$0","$2,697,821","$20,966,487",
"2020_17_CERRO GORDO_EXPEND_SA","6/30/2020","17","CERRO GORDO","$9,994,629","$6,162,737","$2,217,305","$2,194,796","$7,320,263","$1,262,118","$3,813,036","$0","$997,494","$2,165,000","$36,127,378","$7,521,057","$0","$43,648,435","$0","$17,541,669","$61,190,104",
"2013_18_CHEROKEE_EXPEND_SA","6/30/2013","18","CHEROKEE","$1,976,088","$363,062","$1,615,906","$754,971","$4,074,950","$508,513","$1,682,109","$0","$0","$1,560,000","$12,535,599","$1,485,000","$0","$14,020,599","$0","$5,142,975","$19,163,574",
"2023_98_WORTH_EXPEND_SA","6/30/2023","98","WORTH","$2,754,506","$1,332,087","$0","$1,123,626","$4,815,743","$518,071","$1,971,492","$0","$945,373","$2,330,000","$15,790,898","$1,373,294","$0","$17,164,192","$0","$3,457,801","$20,621,993",
"2018_51_JEFFERSON_EXPEND_SA","6/30/2018","51","JEFFERSON","$3,261,953","$873,150","$576,935","$746,826","$4,266,000","$562,966","$1,311,464","$5,000","$391,987","$898,000","$12,894,281","$1,012,843","$0","$13,907,124","$0","$4,123,674","$18,030,798",
"2022_36_FREMONT_EXPEND_SA","6/30/2022","36","FREMONT","$3,228,903","$313,327","$160,080","$468,528","$5,150,000","$552,156","$1,788,477","$10,000","$719,400","$5,746,000","$18,136,871","$1,399,296","$0","$19,536,167","$0","$3,785,715","$23,321,882",
"2026_16_CEDAR_EXPEND_SA","6/30/2026","16","CEDAR","$7,379,469","$2,107,567","$0","$2,591,255","$7,938,000","$716,564","$2,370,187","$8,400","$721,805","$3,500,000","$27,333,247","$2,882,998","$0","$30,216,245","$0","$4,177,270","$34,393,515",
"2019_26_DAVIS_EXPEND_SA","6/30/2019","26","DAVIS","$1,788,782","$408,770","$537,560","$470,015","$4,515,255","$429,386","$1,105,164","$30,539","$412,190","$865,000","$10,562,661","$914,086","$0","$11,476,747","$0","$1,984,428","$13,461,175",
