"School Year","DISTRICT NAME","DISTRICT NUMBER","AEA","COUNTY","COUNTY NAME","PK","KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total K12","Total PK12","Hispanic Male","Hispanic Female","Total Hispanic","Native American Male","Native American Female","Native American Total","Asian Male","Asian Female","Asian Total","Black Male","Black Female","Black Total","Pacific Islander Male","Pacific Islander Female","Pacific Islander Total","White Male","White Female","White Total","Multi-Race Male","Multi-Race Female","Multi-Race Total","Total Male","Total Female"
"2016","AGWSR","9","7","42","Hardin","63","63","50","42","48","44","43","38","37","30","38","44","40","36","553","616","20","23","43","0","0","0","1","1","2","1","0","1","0","0","0","298","264","562","3","5","8","323","293"
"2016","Adair-Casey","18","11","39","Guthrie","17","16","20","20","17","18","29","29","19","23","23","19","13","27","273","290","1","3","4","0","0","0","0","2","2","0","1","1","0","0","0","146","135","281","2","0","2","149","141"
"2016","Adel DeSoto Minburn","27","11","25","Dallas","40","158","140","133","147","136","127","110","128","121","120","129","119","111","1,679","1,719","14","22","36","2","0","2","6","5","11","2","1","3","0","0","0","826","811","1,637","17","13","30","867","852"
"2016","Akron Westfield","63","12","75","Plymouth","20","61","45","39","58","51","40","43","34","43","34","38","52","36","574","594","24","20","44","4","1","5","2","4","6","1","0","1","1","1","2","267","249","516","8","12","20","307","287"
"2016","Albert City-Truesdale","72","5","11","Buena Vista","8","12","13","11","17","11","14","8","0","0","0","0","0","0","86","94","3","6","9","0","0","0","1","0","1","0","0","0","0","0","0","44","36","80","3","1","4","51","43"
"2016","Albia","81","15","68","Monroe","61","81","88","101","90","92","84","99","97","85","82","90","85","95","1,169","1,230","25","24","49","0","3","3","1","4","5","17","18","35","0","1","1","574","529","1,103","20","14","34","637","593"
"2016","Alburnett","99","10","57","Linn","32","44","48","45","47","47","39","44","47","44","55","49","38","56","603","635","8","5","13","1","0","1","0","0","0","2","2","4","0","0","0","328","283","611","3","3","6","342","293"
"2016","Alden","108","7","42","Hardin","46","17","29","18","14","32","20","96","0","0","0","0","0","0","226","272","11","12","23","0","0","0","0","0","0","1","1","2","0","0","0","130","105","235","4","8","12","146","126"
"2016","Algona","126","5","55","Kossuth","106","134","95","93","108","106","101","96","101","111","119","110","104","128","1,406","1,512","30","27","57","1","0","1","7","7","14","7","10","17","2","4","6","743","651","1,394","9","14","23","799","713"
"2016","Allamakee","135","1","3","Allamakee","54","93","64","81","81","77","72","75","120","85","88","82","107","106","1,131","1,185","13","20","33","1","1","2","1","0","1","3","6","9","0","0","0","573","552","1,125","5","10","15","596","589"
"2016","North Butler","153","7","12","Butler","33","50","48","63","49","53","54","49","38","37","51","42","37","52","623","656","8","4","12","0","0","0","1","1","2","3","1","4","0","0","0","340","285","625","8","5","13","360","296"
"2016","Alta","171","5","11","Buena Vista","43","68","48","41","53","43","43","0","0","0","63","61","43","55","518","561","53","54","107","0","0","0","0","3","3","4","11","15","0","0","0","221","208","429","7","0","7","285","276"
"2016","Ames","225","11","85","Story","284","374","322","353","318","298","298","371","306","324","332","322","315","303","4,236","4,520","207","173","380","9","4","13","216","213","429","211","158","369","0","0","0","1,566","1,516","3,082","125","122","247","2,334","2,186"
"2016","Anamosa","234","10","53","Jones","82","95","90","81","85","90","88","89","109","106","98","101","91","94","1,217","1,299","18","11","29","0","0","0","10","9","19","12","8","20","0","2","2","627","579","1,206","11","12","23","678","621"
"2016","Andrew","243","9","49","Jackson","35","12","16","23","12","19","10","21","16","18","0","0","0","0","147","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","94","179","2","1","3","87","95"
"2016","Ankeny","261","11","77","Polk","467","901","875","926","868","872","859","852","810","801","749","707","688","697","10,605","11,072","261","236","497","7","3","10","140","129","269","107","106","213","8","6","14","4,882","4,786","9,668","206","195","401","5,611","5,461"
"2016","Aplington-Parkersburg","279","7","12","Butler","78","73","71","65","67","51","63","55","53","71","60","74","69","77","849","927","0","1","1","0","0","0","0","2","2","7","4","11","0","0","0","451","457","908","2","3","5","460","467"
"2016","North Union","333","5","32","Emmet","16","19","35","25","35","35","20","0","0","0","42","51","49","47","358","374","5","10","15","0","1","1","1","2","3","4","0","4","1","0","1","165","178","343","3","4","7","179","195"
"2016","Ar-We-Va","355","12","24","Crawford","10","32","18","19","18","11","15","14","17","16","12","16","20","12","220","230","10","18","28","1","0","1","0","0","0","4","0","4","0","0","0","103","91","194","0","3","3","118","112"
"2016","Atlantic","387","13","15","Cass","100","128","105","119","130","109","118","96","117","110","108","121","111","89","1,461","1,561","38","31","69","1","0","1","2","1","3","3","5","8","15","17","32","748","687","1,435","8","5","13","815","746"
"2016","Audubon","414","11","5","Audubon","38","46","41","45","40","39","33","39","46","39","29","30","38","60","525","563","7","7","14","1","0","1","2","0","2","2","3","5","0","0","0","281","245","526","6","9","15","299","264"
"2016","Aurelia","423","12","18","Cherokee","15","16","17","18","13","13","14","50","56","59","0","0","0","0","256","271","17","19","36","0","0","0","0","0","0","4","2","6","0","0","0","111","115","226","0","3","3","132","139"
"2016","A-H-S-T","441","13","78","Pottawattam","48","52","39","42","42","40","35","44","45","52","54","60","62","59","626","674","12","10","22","0","0","0","2","0","2","1","0","1","0","0","0","330","310","640","2","7","9","347","327"
"2016","Ballard","472","11","85","Story","134","141","139","119","135","108","116","112","140","140","125","138","146","115","1,674","1,808","28","25","53","4","2","6","1","4","5","12","8","20","3","5","8","899","802","1,701","12","3","15","959","849"
"2016","Battle Creek-Ida Grove","504","12","47","Ida","48","74","43","53","55","60","42","0","0","0","67","65","50","56","565","613","12","11","23","0","0","0","0","2","2","2","6","8","1","1","2","300","269","569","4","5","9","319","294"
"2016","Baxter","513","11","50","Jasper","28","36","24","32","36","37","40","24","32","33","38","35","33","32","432","460","6","7","13","0","0","0","1","1","2","0","2","2","0","0","0","220","215","435","0","8","8","227","233"
"2016","BCLUW","540","7","38","Grundy","21","47","33","40","55","45","42","52","37","38","59","51","52","51","602","623","17","21","38","1","0","1","2","2","4","1","2","3","0","0","0","270","290","560","9","8","17","300","323"
