Date,Store Name,City,Item Description,Bottles Sold,Sale (Dollars)
01/03/2022,HY-VEE FOOD STORE #3 / CEDAR RAPIDS,CEDAR RAPIDS,JOSE CUERVO ESPECIAL REPOSADO MINI,12,$207.00
01/03/2022,"SPIRITS, STOGIES AND STUFF",HOLSTEIN,CAPTAIN MORGAN CHERRY VANILLA,3,$40.77
01/03/2022,CASEY'S GENERAL STORE #2824 / WDM,WEST DES MOINES,MALIBU COCONUT,6,$76.44
01/03/2022,HY-VEE  /  JEFFERSON,JEFFERSON,SOUTHERN COMFORT,12,$186.00
01/03/2022,LICKETY LIQUOR,DES MOINES,SVEDKA STRAWBERRY LEMONADE,3,$36.00
01/03/2022,TIPTON FAMILY FOODS,TIPTON,PARAMOUNT CREME DE CACAO WHITE,3,$22.50
01/03/2022,CASEY'S GENERAL STORE #2628 / LAKE CITY,LAKE CITY,NEW AMSTERDAM 80PRF,3,$33.75
01/03/2022,KUM & GO #438 / MUSCATINE,MUSCATINE,NEW AMSTERDAM 80PRF,2,$10.50
01/03/2022,WAL-MART 1509 / MAQUOKETA,MAQUOKETA,TITOS HANDMADE VODKA,6,$171.00
01/03/2022,CASEY'S GENERAL STORE #1446 / LISBON,LISBON,FIREBALL CINNAMON WHISKEY PARTY COOLER,6,$77.40
01/03/2022,HY-VEE WINE AND SPIRITS / STORM LAKE,STORM LAKE,CAPTAIN MORGAN PINEAPPLE,2,$24.78
01/03/2022,HY-VEE #4 / WDM,WEST DES MOINES,99 PEPPERMINT MINI,10,$77.40
01/03/2022,FAREWAY STORES #193 / TIFFIN,TIFFIN,CHI-CHI'S STRAWBERRY MARGARITA,6,$58.50
01/03/2022,LIQUOR TOBACCO & GAS,DUBUQUE,1800 ULTIMATE MANGO MARGARITA PET,6,$90.36
01/03/2022,TARGET STORE T-0069 / WDM,WEST DES MOINES,ADMIRAL NELSON SPICED,6,$103.98
01/04/2022,HY-VEE FOOD STORE / GRINNELL,GRINNELL,MAUI BLUE HAWAIIAN SCHNAPPS,1,$6.81
01/04/2022,HY-VEE FOOD STORE / INDIANOLA,INDIANOLA,FIREBALL CINNAMON WHISKEY,6,$138.00
01/04/2022,HY-VEE FOOD STORE #4 / SIOUX CITY,SIOUX CITY,JACK DANIELS OLD #7 BLACK LABEL MINI,3,$51.75
01/04/2022,TOBACCO HUT #11 / SIOUX CITY,SIOUX CITY,CROWN ROYAL,5,$124.45
01/05/2022,HY-VEE # 6/ DES MOINES,DES MOINES,JOSE CUERVO AUTHENTIC PINK LEMONADE MARGARITA,6,$41.76
01/05/2022,HY-VEE  #2 / AMES,AMES,BLACK VELVET,12,$188.16
01/05/2022,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,CEDAR RAPIDS,ON THE ROCKS COCKTAILS CRUZAN MAI TAI,12,$117.00
01/05/2022,THE LIQUOR STOP LLC,DAVENPORT,CROWN ROYAL,1,$49.49
01/05/2022,HY-VEE  #2 / AMES,AMES,TANQUERAY GIN,12,$279.00
01/05/2022,TARGET STORE T-1170 / AMES,AMES,WINDSOR CANADIAN PET,6,$90.00
01/05/2022,TARGET STORE T-2454 / COUNCIL BLUFFS,COUNCIL BLUFFS,BLACK VELVET TOASTED CARAMEL,12,$94.20
01/05/2022,WAL-MART 2714 / SPENCER,SPENCER,CAPTAIN MORGAN ORIGINAL SPICED MINI,12,$86.40
