County,City
Adair,"Bridgewater, Fontanelle, Greenfield, Orient"
Adair Guthrie,Adair
Adams,"Carbon, Corning, Nodaway, Prescott"
Allamakee,"Harpers Ferry, Lansing, New Albin, Waterville, Waukon"
Allamakee Clayton,Postville
Appanoose,"Centerville, Cincinnati, Exline, Moulton, Mystic, Numa, Plano, Rathbun, Udell, Unionville"
Appanoose Monroe,Moravia
Audubon,"Audubon, Brayton, Exira, Gray, Kimballton"
Benton,"Atkins, Belle Plaine, Blairstown, Garrison, Keystone, Luzerne, Mount Auburn, Newhall, Norway, Shellsburg, Urbana, Van Horne, Vinton"
Benton Linn,Walford
Black Hawk,"Cedar Falls, Dunkerton, Elk Run Heights, Evansdale, Gilbertville, Hudson, La Porte City, Raymond, Waterloo"
Boone,"Beaver, Berkley, Boone, Boxholm, Fraser, Luther, Madrid, Ogden, Pilot Mound"
Bremer,"Denver, Frederika, Plainfield, Readlyn, Tripoli, Waverly"
Bremer Black Hawk,Janesville
Bremer Fayette,Sumner
Buchanan,"Aurora, Brandon, Hazleton, Independence, Lamont, Quasqueton, Rowley, Winthrop"
Buchanan Black Hawk,Jesup
Buchanan Fayette,"Fairbank, Stanley"
Buena Vista,"Albert City, Alta, Lakeside, Linn Grove, Marathon, Newell, Rembrandt, Sioux Rapids, Storm Lake, Truesdale"
Butler,"Allison, Aplington, Aredale, Bristow, Clarksville, Dumont, New Hartford, Parkersburg, Shell Rock"
Butler Floyd,Greene
Calhoun,"Jolley, Knierim, Lake City, Lohrville, Manson, Pomeroy, Rinard, Rockwell City, Somers, Yetter"
Calhoun Webster,Farnhamville
Carroll,"Arcadia, Breda, Carroll, Dedham, Glidden, Halbur, Lanesboro, Lidderdale, Manning, Templeton, Willey"
Carroll Greene,Ralston
Carroll Guthrie,Coon Rapids
Cass,"Anita, Atlantic, Cumberland, Griswold, Lewis, Marne, Massena, Wiota"
Cedar,"Bennett, Clarence, Lowden, Mechanicsville, Stanwood, Tipton"
Cedar Johnson,West Branch
Cedar Scott Muscatine,Durant
Cerro Gordo,"Clear Lake, Dougherty, Mason City, Meservey, Plymouth, Rock Falls, Rockwell, Swaledale, Thornton, Ventura"
Cherokee,"Aurelia, Cherokee, Cleghorn, Larrabee, Marcus, Meriden, Quimby, Washta"
Chickasaw,"Alta Vista, Bassett, Fredericksburg, Ionia, Lawler, New Hampton, North Washington"
Chickasaw Floyd,Nashua
Clarke,"Murray, Osceola, Woodburn"
Clay,"Dickens, Everly, Fostoria, Gillett Grove, Greenville, Peterson, Rossie, Royal, Spencer, Webb"
Clayton,"Clayton, Elkader, Elkport, Farmersburg, Garber, Garnavillo, Guttenberg, Luana, Marquette, McGregor, Monona, North Buena Vista, Osterdock, St. Olaf, Strawberry Point, Volga"
Clinton,"Andover, Calamus, Camanche, Charlotte, Clinton, DeWitt, Delmar, Goose Lake, Grand Mound, Lost Nation, Low Moor, Toronto, Welton, Wheatland"
Crawford,"Arion, Aspinwall, Buck Grove, Charter Oak, Deloit, Denison, Dow City, Kiron, Manilla, Ricketts, Schleswig, Vail, Westside"
Dallas,"Adel, Bouton, Dallas Center, Dawson, De Soto, Dexter, Linden, Minburn, Perry, Redfield, Van Meter, Waukee"
Dallas Boone,Woodward
Dallas Polk,Granger
Davis,"Bloomfield, Drakesville, Floris, Pulaski"
Decatur,"Davis City, Decatur City, Garden Grove, Grand River, Lamoni, Le Roy, Leon, Pleasanton, Van Wert, Weldon"
Delaware,"Colesburg, Delaware, Delhi, Dundee, Earlville, Greeley, Hopkinton, Manchester, Masonville, Ryan"
Delaware Clayton,Edgewood
Des Moines,"Burlington, Danville, Mediapolis, Middletown, West Burlington"
Dickinson,"Arnolds Park, Lake Park, Milford, Okoboji, Orleans, Spirit Lake, Superior, Terril, Wahpeton, West Okoboji"
Dubuque,"Asbury, Balltown, Bankston, Bernard, Centralia, Dubuque, Durango, Epworth, Farley, Graf, Holy Cross, Luxemburg, New Vienna, Peosta, Rickardsville, Sageville, Sherrill, Worthington"
Dubuque Delaware,Dyersville
Dubuque Jackson,Zwingle
Dubuque Jones,Cascade
Emmet,"Armstrong, Dolliver, Estherville, Gruver, Ringsted, Wallingford"
Fayette,"Arlington, Clermont, Elgin, Fayette, Hawkeye, Maynard, Oelwein, Randalia, St. Lucas, Wadena, Waucoma, West Union, Westgate"
